X,Y,OBJECT ID,GLOBAL ID,REQUEST ID,USER  TYPE,REQUEST TYPE,REQUEST DATE,STATUS,STREET SEG ID,COMMENTS
-76.94261156,38.89328356,8065,{543F6014-8F67-49E4-975C-D86DCD8B7913},8065,Pedestrian,Double parking,2015/09/16 15:56:51+00,Unassigned,8800,Cars regularly drive over the curb to park in Fort Mahan Park. It is very dangerous since they have to drive on the sidewalk to access the field in Fort Mahan Park.
-77.03184233,38.92060831,8066,{9D3AF3FB-DC3E-44BC-AD35-A142A27DD174},8066,Pedestrian,Jaywalking,2015/09/16 17:41:48+00,Unassigned,8079,"There is a crosswalk a little further north, but with a grocery store and a high rise apartment building on the west side of the street, many people coming from the south choose to cross here rather than walk further north and have to come back south"
-77.00866809,38.92345237,8067,{F9D8B4C9-DD02-4FCE-A785-863667579969},8067,Car Driver,Poor visibility,2015/09/16 19:40:09+00,Unassigned,3705,A mirror is needed here so drivers are aware of a driver is approaching in the opposite direction (there is only room for one vehicle going in one direction).
-77.00823863,38.91363783,8068,{74839DED-9FA2-497A-97D1-E7EBEA58DA60},8068,Pedestrian,Speeding,2015/09/16 19:41:14+00,Unassigned,10613,I live here and see car's speeding constantly. There is an alley the cops could sit in to ticket people but they do not.
-77.01588587,38.92703514,8069,{81FDAE0E-1CA0-4417-A2AB-6F159BD1675C},8069,Biker,Speeding,2015/09/16 19:44:03+00,Unassigned,1405,"This corridor is designed to promote high speeds and I feel in danger being on a bike. I try to bike on the sidewalk, but it's disrespectful with the high pedestrian traffic surrounding the hospital. So I bravely take to the streets."
-77.00848775,38.92238022,8070,{D028A145-2A6C-453C-85AE-040113ED08D4},8070,Pedestrian,Speeding,2015/09/16 19:45:34+00,Unassigned,12563,I have nearly been hit by a car once a month walking through our alleys- which are often the place where children play and neighbors connect. We need speedbumps.
-77.00057073,38.92126475,8071,{8CF5A5C1-8848-4D8C-A84F-9154EE2AF133},8071,Pedestrian,Failure to stop for pedestrians,2015/09/16 19:47:54+00,Unassigned,7137,There are two crosswalks on this section of 4th street and vehicles do not stop !
-77.03694106,38.92629295,8072,{2EFDF258-FBF0-4BA6-A3F9-CE111521FD2A},8072,Biker,Other Driving Issue,2015/09/16 19:48:54+00,Unassigned,6123,"This is the most dangerous part of my commute. Westbound drivers from two lanes of traffic must merge into one lane, where there is a high volume of bicyclists being instructed to follow the sharrow and take the lane --but rarely do."
-77.00350888,38.92291652,8073,{780ED934-B467-4C01-BA67-A0F127051DF8},8073,Car Driver,Speeding,2015/09/16 19:49:42+00,Unassigned,1906,Motorist routinely travel at high rates of speed when turning left from Lincoln Rd
-77.00800773,38.92597077,8074,{DF8447B5-9FFC-4F96-98AD-A603EE0F44B1},8074,Pedestrian,Speeding,2015/09/16 20:47:06+00,Unassigned,550,"Speeding cut through traffic from North Capitol is endangering property and lives on this street. Needs, signage, new speed bumps and enforcement."
