Bike ID,iOS,Latitude,Longitude,Rental URIS
"{""bike_id"":""613567f2-b539-48c8-a069-42ef30b68e2d""","ios:""limebike://map?selected_vehicle_id=35POQNNF4PQAE\u0026generated_at=1634666730""}}","lat:""38.8984""","lon:""-77.0434""","rental_uris:{""android"":""limebike://map?selected_vehicle_id=35POQNNF4PQAE\u0026generated_at=1634666730"""
"{""bike_id"":""01b8be1d-0b21-4fd9-b30a-efdf371ba8ed""","ios:""limebike://map?selected_vehicle_id=YWHDDJO4YROVL\u0026generated_at=1634666730""}}","lat:""38.9047""","lon:""-77.0434""","rental_uris:{""android"":""limebike://map?selected_vehicle_id=YWHDDJO4YROVL\u0026generated_at=1634666730"""
"{""bike_id"":""d12cef0a-d403-4579-ada5-aab5474783f8""","ios:""limebike://map?selected_vehicle_id=MPM4OQOTUS4QW\u0026generated_at=1634666730""}}","lat:""38.9051""","lon:""-77.0434""","rental_uris:{""android"":""limebike://map?selected_vehicle_id=MPM4OQOTUS4QW\u0026generated_at=1634666730"""
"{""bike_id"":""79e88ab5-35d6-4674-b44d-45557077aaa8""","ios:""limebike://map?selected_vehicle_id=WYHL3DO3XNJ5P\u0026generated_at=1634666730""}}","lat:""38.9025""","lon:""-77.0435""","rental_uris:{""android"":""limebike://map?selected_vehicle_id=WYHL3DO3XNJ5P\u0026generated_at=1634666730"""
"{""bike_id"":""5b538e47-3cdf-4f9c-a486-43638b8e3093""","ios:""limebike://map?selected_vehicle_id=3ADTKENTLZTSL\u0026generated_at=1634666730""}}","lat:""38.9039""","lon:""-77.0435""","rental_uris:{""android"":""limebike://map?selected_vehicle_id=3ADTKENTLZTSL\u0026generated_at=1634666730"""
"{""bike_id"":""bb740ead-297b-4130-908b-c3a59c3ca670""","ios:""limebike://map?selected_vehicle_id=77MNSUHKS722T\u0026generated_at=1634666730""}}","lat:""38.9093""","lon:""-77.0435""","rental_uris:{""android"":""limebike://map?selected_vehicle_id=77MNSUHKS722T\u0026generated_at=1634666730"""
"{""bike_id"":""d2ea154f-4aa8-4cad-b2f8-ecd8140c83d1""","ios:""limebike://map?selected_vehicle_id=HUQTGA5V5L6GK\u0026generated_at=1634666730""}}","lat:""38.9""","lon:""-77.0435""","rental_uris:{""android"":""limebike://map?selected_vehicle_id=HUQTGA5V5L6GK\u0026generated_at=1634666730"""
"{""bike_id"":""4f0394c9-4511-42a2-a453-a802d3b1f2d3""","ios:""limebike://map?selected_vehicle_id=Y632DL75YH7TK\u0026generated_at=1634666730""}}","lat:""38.9053""","lon:""-77.0436""","rental_uris:{""android"":""limebike://map?selected_vehicle_id=Y632DL75YH7TK\u0026generated_at=1634666730"""
"{""bike_id"":""b5bc0811-6d81-4d48-bc15-8dc9ee87219e""","ios:""limebike://map?selected_vehicle_id=FLV42HDRFYLIM\u0026generated_at=1634666730""}}","lat:""38.9216""","lon:""-77.0436""","rental_uris:{""android"":""limebike://map?selected_vehicle_id=FLV42HDRFYLIM\u0026generated_at=1634666730"""
"{""bike_id"":""328f1319-a772-4850-99d7-c804f6521cd5""","ios:""limebike://map?selected_vehicle_id=ULBJJ3ZYFXUY7\u0026generated_at=1634666730""}}","lat:""38.8996""","lon:""-77.0436""","rental_uris:{""android"":""limebike://map?selected_vehicle_id=ULBJJ3ZYFXUY7\u0026generated_at=1634666730"""
"{""bike_id"":""20dde94c-e736-47d4-ace5-e00e1d222269""","ios:""limebike://map?selected_vehicle_id=RRRQWTLW6TCAH\u0026generated_at=1634666730""}}","lat:""38.9054""","lon:""-77.0436""","rental_uris:{""android"":""limebike://map?selected_vehicle_id=RRRQWTLW6TCAH\u0026generated_at=1634666730"""
"{""bike_id"":""d161f3f6-4ea5-4ae1-a3fd-638d68ac97a1""","ios:""limebike://map?selected_vehicle_id=Z45SNBNXGZLMJ\u0026generated_at=1634666730""}}","lat:""38.8925""","lon:""-77.0436""","rental_uris:{""android"":""limebike://map?selected_vehicle_id=Z45SNBNXGZLMJ\u0026generated_at=1634666730"""
"{""bike_id"":""0cbf75e7-3f74-4ce7-a421-a184e0109549""","ios:""limebike://map?selected_vehicle_id=EVGLJGEDEIXDV\u0026generated_at=1634666730""}}","lat:""38.9306""","lon:""-77.0436""","rental_uris:{""android"":""limebike://map?selected_vehicle_id=EVGLJGEDEIXDV\u0026generated_at=1634666730"""
"{""bike_id"":""b39db7b2-54c8-436b-9129-c4efd2d3cfdd""","ios:""limebike://map?selected_vehicle_id=Y5LKQ764ZRCYZ\u0026generated_at=1634666730""}}","lat:""38.9052""","lon:""-77.0437""","rental_uris:{""android"":""limebike://map?selected_vehicle_id=Y5LKQ764ZRCYZ\u0026generated_at=1634666730"""
"{""bike_id"":""327b6045-c995-4baa-aa2f-47e6c6acca99""","ios:""limebike://map?selected_vehicle_id=RZLOPEMNE7IHU\u0026generated_at=1634666730""}}","lat:""38.9017""","lon:""-77.0437""","rental_uris:{""android"":""limebike://map?selected_vehicle_id=RZLOPEMNE7IHU\u0026generated_at=1634666730"""
"{""bike_id"":""e65d3443-af38-4152-bf5b-e16f9b1a6d20""","ios:""limebike://map?selected_vehicle_id=PDSOSJXQ2WVND\u0026generated_at=1634666730""}}","lat:""38.9112""","lon:""-77.0438""","rental_uris:{""android"":""limebike://map?selected_vehicle_id=PDSOSJXQ2WVND\u0026generated_at=1634666730"""
"{""bike_id"":""5251ed01-da18-40fd-9501-a80d68323ec7""","ios:""limebike://map?selected_vehicle_id=AJ7TO3EPJTGWX\u0026generated_at=1634666730""}}","lat:""38.8962""","lon:""-77.044""","rental_uris:{""android"":""limebike://map?selected_vehicle_id=AJ7TO3EPJTGWX\u0026generated_at=1634666730"""
"{""bike_id"":""b68b5b39-507b-4721-b8a2-8920014c4b26""","ios:""limebike://map?selected_vehicle_id=QCD5J4HQT2VWK\u0026generated_at=1634666730""}}","lat:""38.9015""","lon:""-77.044""","rental_uris:{""android"":""limebike://map?selected_vehicle_id=QCD5J4HQT2VWK\u0026generated_at=1634666730"""
"{""bike_id"":""cb1d5b13-379f-4fa0-b26f-5c2633a428c3""","ios:""limebike://map?selected_vehicle_id=GHFDF3SXDW4AQ\u0026generated_at=1634666730""}}","lat:""38.9333""","lon:""-77.0441""","rental_uris:{""android"":""limebike://map?selected_vehicle_id=GHFDF3SXDW4AQ\u0026generated_at=1634666730"""
"{""bike_id"":""f1fb48b1-6da4-4fc6-b13b-5f26c0789767""","ios:""limebike://map?selected_vehicle_id=DLEWAAZQDBA4U\u0026generated_at=1634666730""}}","lat:""38.896""","lon:""-77.0442""","rental_uris:{""android"":""limebike://map?selected_vehicle_id=DLEWAAZQDBA4U\u0026generated_at=1634666730"""
"{""bike_id"":""9dd98f8a-221e-4670-b0bd-bb0f94527a1d""","ios:""limebike://map?selected_vehicle_id=IKOVQG6UXQATJ\u0026generated_at=1634666730""}}","lat:""38.9101""","lon:""-77.0442""","rental_uris:{""android"":""limebike://map?selected_vehicle_id=IKOVQG6UXQATJ\u0026generated_at=1634666730"""
"{""bike_id"":""22acd41c-88fa-4654-97fb-8b288f3a6606""","ios:""limebike://map?selected_vehicle_id=OOESUUHXLAX2J\u0026generated_at=1634666730""}}","lat:""38.905""","lon:""-77.0443""","rental_uris:{""android"":""limebike://map?selected_vehicle_id=OOESUUHXLAX2J\u0026generated_at=1634666730"""
"{""bike_id"":""936504b4-21aa-4a4d-a31b-9f839465e279""","ios:""limebike://map?selected_vehicle_id=GXW6PRMWK443A\u0026generated_at=1634666730""}}","lat:""38.9384""","lon:""-77.0443""","rental_uris:{""android"":""limebike://map?selected_vehicle_id=GXW6PRMWK443A\u0026generated_at=1634666730"""
"{""bike_id"":""254772e2-aea8-4bfc-870b-7f6dfe5cd54b""","ios:""limebike://map?selected_vehicle_id=26WUIB2MBEJRY\u0026generated_at=1634666730""}}","lat:""38.9008""","lon:""-77.0443""","rental_uris:{""android"":""limebike://map?selected_vehicle_id=26WUIB2MBEJRY\u0026generated_at=1634666730"""
